Spanish,Alternate,Translation,Column42,Column5,Column6,Column7,POS,Gender,Column10,Chapter Number,Chapter Name
el emparedado,b… / t…,sandwich,sandwich,sandwich,,,Noun,m,[sound:spanishdict-9902fc52-b7c2debf-3284a2f7-f34c41b6-148c9813.mp3],4,Food1
el menú,,menu,menu,menu,,,Noun,m,[sound:spanishdict-03a5eb5e-402ffb71-0124e566-5723ac9a-9bad8bfb.mp3],4,Food1
la fresa,,strawberry,strawberry,strawberry,,,Noun,f,[sound:spanishdict-c33b27d6-641fda14-03651cbd-fd7b16de-d710b649.mp3],4,Food1
el limón,,lemon,lemon,lemon,,,Noun,m,[sound:spanishdict-dc834a31-96a72ab8-69e7af43-156e2d34-42b19605.mp3],4,Food1
el arroz,,rice,rice,rice,,,Noun,m,[sound:spanishdict-2a6f3456-0a84ccec-7994f0e6-8a0ae3ca-85aa08e4.mp3],4,Food1
la cebolla,,onion,onion,onion,,,Noun,f,[sound:spanishdict-42fd8eb2-72c31fc1-0c0d6b74-2bd33028-fd159a95.mp3],4,Food1
el té,,tea,tea,tea,,,Noun,m,[sound:spanishdict-c0cb7b64-3600ab71-75ca9843-b687e40b-f40cff89.mp3],4,Food1
la cena,,dinner,dinner,dinner,,,Noun,f,[sound:spanishdict-24d588f5-74e434f0-e4c27ff2-b9d5fb9f-d5fb7f04.mp3],4,Food1
la cerveza,,beer,beer,beer,,,Noun,f,[sound:spanishdict-61705d02-1b54b7c1-f39bf70d-1a3a0f06-70445e7c.mp3],4,Food1
la carne,,meat,meat,meat,,,Noun,f,[sound:spanishdict-df53bf89-a09a07cb-153c49e8-5f8dea4b-47ac5337.mp3],4,Food1
el pollo,,chicken,chicken,chicken,,,Noun,m,[sound:spanishdict-9992cdf2-3d1983d5-f05c5d52-42607636-1a419cc9.mp3],4,Food1
el pescado,,fish,fish,fish,,,Noun,m,[sound:spanishdict-2fd28435-e2ccfaac-ac4df3f1-9185598c-5ac2e6e3.mp3],4,Food1
la comida,,food; meal,food; meal,food; meal,,,Noun,f,[sound:spanishdict-30485a57-1db23cb9-4e65ee30-4fdeb14a-c077ad55.mp3],4,Food1
el jugo,,juice,juice,juice,,,Noun,m,[sound:spanishdict-f3e92654-b854ae21-5556b3b8-ce18caa8-789a9cb9.mp3],4,Food1
el huevo,,egg,egg,egg,,,Noun,m,[sound:spanishdict-07d2e5fa-ff70c4d5-8e147a52-57602b46-99473eae.mp3],4,Food1
la fruta,,fruit,fruit,fruit,,,Noun,f,[sound:spanishdict-72fd4598-9f6b6565-7e12a60b-7df6e4c7-924fc813.mp3],4,Food1
"el gato, la gata",,cat,cat,cat,,,Noun,mf,[sound:spanishdict-14c3180d-28bab1fe-71b5e5d6-0e3cf4f9-a2416d70.mp3],5,Animals
"el oso, la osa",,bear,bear,bear,,,Noun,m,[sound:spanishdict-0b716b34-8a1b25e6-7b4b4a16-18773e64-45ae0d19.mp3],5,Animals
"el pato, la pata",,duck,duck,duck,,,Noun,m,[sound:spanishdict-beacd276-20b19c80-73208aa6-7389bb89-05449f2a.mp3],5,Animals
el león,,lion,lion,lion,,,Noun,m,[sound:spanishdict-e49bbf96-360e3ea7-548e7bbc-abcd8505-b0d95bc2.mp3],5,Animals
"el mono, la mona",,monkey,monkey,monkey,,,Noun,m,[sound:spanishdict-1aee4e1c-b3e31b1f-c1dda045-019c2f3c-ff308052.mp3],5,Animals
el pájaro,,bird,bird,bird,,,Noun,m,[sound:spanishdict-5a852874-4cd5194d-df8d4b5a-8286e4b7-a5c9629d.mp3],5,Animals
la araña,,spider,spider,spider,,,Noun,f,[sound:spanishdict-8639c57f-f720ffeb-e43d4f36-f4a62fe6-b8e51630.mp3],5,Animals
la tortuga,,tortoise; turtle,tortoise; turtle,tortoise; turtle,,,Noun,f,[sound:spanishdict-7df5eaa4-df4af7f1-5efb87fe-ea5b86d6-250aa5da.mp3],5,Animals
el animal,,animal,animal,animal,,,Noun,m,[sound:spanishdict-a226f1c9-b57756d1-c8ff0252-d094dd32-8742e5c8.mp3],5,Animals
"el perro, la perra",,dog,dog,dog,,,Noun,m,[sound:spanishdict-e6dd9439-31f64cc2-69e40f78-2bb30b39-0a07a0b3.mp3],5,Animals
el pingüino,,penguin,penguin,penguin,,,Noun,m,[sound:spanishdict-03e261bd-53b3dd74-d766541c-37e4de5b-866a95aa.mp3],5,Animals
el elefante,,elephant,elephant,elephant,,,Noun,m,[sound:spanishdict-e9a85b11-2ea21680-02f8a70c-a8347fd7-e874eff2.mp3],5,Animals
el caballo,,horse,horse,horse,,,Noun,m,[sound:spanishdict-18c74106-9a0339b3-a2636a4a-982ae649-a652a798.mp3],5,Animals
"el conejo, la coneja",,rabbit,rabbit,rabbit,,,Noun,m,[sound:spanishdict-9df343c1-c5a8bd2d-ecc84ca4-b6959d9f-204d29bf.mp3],5,Animals
el cangrejo,,crab,crab,crab,,,Noun,m,[sound:spanishdict-861ec409-69e67657-45dd8a69-74be39a4-afc7f12d.mp3],5,Animals
el ratón,,mouse,mouse,mouse,,,Noun,m,[sound:spanishdict-6135533a-9b72fda7-b0a00e0c-0ef405b8-3a440176.mp3],5,Animals
"el cerdo, la cerda",,pig; pork,pig; pork,pig; pork,,,Noun,m,[sound:spanishdict-a4b2ca82-d115e135-5b1d4062-0c8d5590-67e98522.mp3],5,Animals
el toro,,bull,bull,bull,,,Noun,m,[sound:spanishdict-074ce4d5-72c35da1-240583f0-c45cbcc8-b81bd031.mp3],5,Animals
las llaves,,keys,keys,keys,,,Noun,f,[sound:spanishdict-6de42c13-ce040258-62f7fed9-b62e44a2-bc1c0d25.mp3],6,Plurals
la corbata,,tie,tie,tie,,,Noun,f,[sound:spanishdict-79600c13-848310f6-e57a6715-1d904dc3-c68931c7.mp3],8,Clothing
la chaqueta,el abrigo,jacket,jacket,jacket,,,Noun,f,[sound:spanishdict-21495ae6-9cc70b6f-4e4e1899-3264ba79-43b66f1e.mp3],8,Clothing
el traje,,suit,suit,suit,,,Noun,m,[sound:spanishdict-32b6fa54-6d2a27e3-19dd7aa3-fd13632d-c1de41dd.mp3],8,Clothing
el vestido,la prenda,dress,dress,dress,,,Noun,m,[sound:spanishdict-cd5aeda7-ca5a61eb-5361dbf8-f740a1e0-9fd89ba9.mp3],8,Clothing
las botas,,boots,boots,boots,,,Noun,f,[sound:spanishdict-84f71fcd-173323cb-3718ea65-3929fea4-0327c544.mp3],8,Clothing
los zapatos,,shoes,shoes,shoes,,,Noun,m,[sound:spanishdict-9feb3331-93142c10-abacd432-d1589d2a-c824c04f.mp3],8,Clothing
el abrigo,c…,coat,coat,coat,,,Noun,m,[sound:spanishdict-aac16f3d-38b53068-ebf047f0-be37b691-3c4e8f0f.mp3],8,Clothing
la camisa,,shirt,shirt,shirt,,,Noun,f,[sound:spanishdict-b480ab15-d375ec86-2a2a03e0-51ce7f6e-77bcaeba.mp3],8,Clothing
el cinturón,,"belt, sash","belt, sash","belt, sash",,,Noun,m,[sound:spanishdict-fe7bb8ae-39887bae-d7c1ed25-1051e988-8d29fd8a.mp3],8,Clothing
la ropa,,"clothes, clothing","clothes, clothing","clothes, clothing",,,Noun,f,[sound:spanishdict-8bc39528-7811bb82-22a50963-46e53200-f7b2f2ce.mp3],8,Clothing
las gafas,,glasses,glasses,glasses,,,Noun,f,[sound:spanishdict-90ba272e-0bd27b02-12f34a2f-58c0779f-4f6950ad.mp3],8,Clothing
el sombrero,,hat,hat,hat,,,Noun,m,[sound:spanishdict-4a8082b4-83272973-53388b29-eb02dca3-a48c3bf8.mp3],8,Clothing
el pantalón,,pants,pants,pants,,,Noun,m,[sound:spanishdict-78ae4f63-85f04bfa-d0f8164c-ac0feefe-55e74e8c.mp3],8,Clothing
la falda,,skirt,skirt,skirt,,,Noun,f,[sound:spanishdict-503f92ce-4b2dc71d-9a49557d-f6a671ef-3d77fdb4.mp3],8,Clothing
el calcetín,,sock,sock,sock,,,Noun,m,[sound:spanishdict-e72639d0-480a33c4-b47d9328-bad714f1-ec570176.mp3],8,Clothing
el suéter,,sweater,sweater,sweater,,,Noun,m,[sound:spanishdict-72a051a8-fa7705e0-09c24954-946666e4-3677287a.mp3],8,Clothing
rosa,,pink,pink,pink,,,Adjective,,[sound:spanishdict-8da81345-8a2e53de-1d291fe9-c20fe6ac-b3cc4ee1.mp3],9,Colors
"negro, negra",,black,black,black,,,Adjective,,[sound:spanishdict-c8bec520-c4db784a-c1cf1dc1-ca311195-453b0136.mp3],9,Colors
café,m…,brown,brown,brown,,,Adjective,,[sound:spanishdict-4f8dc752-56bbac20-328e2cc3-959cb582-e7524ac2.mp3],9,Colors
azul,,blue,blue,blue,,,Adjective,,[sound:spanishdict-77625a0b-35acf8a2-987734b3-b91512e9-b995509f.mp3],9,Colors
morado,purpura,purple,purple,purple,,,Adjective,,[sound:spanishdict-d43e3cf8-b8383ca8-114b9ba1-3a326ec2-280ed496.mp3],9,Colors
púrpura,m…,purple,purple,purple,,,Adjective,f,[sound:spanishdict-c2dd2af7-acabe42b-3ae10efc-da5a4662-e4a15fcc.mp3],9,Colors
gris,,gray,gray,gray,,,Adjective,,[sound:spanishdict-deaf0e09-780aae1a-1f2abc1c-901513e2-c49f68d9.mp3],9,Colors
"amarillo, amarilla",,yellow,yellow,yellow,,,Adjective,,[sound:spanishdict-16ef2f9e-e4c6cc01-828f9ae8-78227b02-4f208ca3.mp3],9,Colors
"blanco, blanca",,white,white,white,,,Adjective,,[sound:spanishdict-be0d2a9c-3daa708a-c0cfbb4e-14007d65-7fa0efd5.mp3],9,Colors
"rojo, roja",,red,red,red,,,Adjective,,[sound:spanishdict-3b42c4be-e02ee1e3-892a0a08-eb808f89-f82a0ada.mp3],9,Colors
verde,,green,green,green,,,Adjective,,[sound:spanishdict-17331e7f-b401ba0f-61e6be2b-b770f113-9f08a524.mp3],9,Colors
cómo,,how,how,how,,,CoNounj,,[sound:spanishdict-822434c9-90e25252-fd66d123-55b04222-0a33ba34.mp3],10,Questions
quién,,who,who,who,,,Pronoun,,[sound:spanishdict-32f6d8d6-b86f84a1-958617de-8a3d0335-6be51ef3.mp3],10,Questions
qué,,what,what,what,,,QP,,[sound:spanishdict-2ec06fff-c903a4a6-a17f0c2c-48590852-155d2917.mp3],10,Questions
cuál,,which; what (interrogative),which; what (interrogative),which; what,,interrogative,QP,,[sound:spanishdict-0b05b801-3ae9d6f0-ceb1a351-537457b8-00d99b0f.mp3],10,Questions
cuándo,,when,when,when,,,CoNounj,,[sound:spanishdict-424fe7b8-d509a1ad-d1b534da-77e97eab-6e38f1ee.mp3],10,Questions
"cuánto, cuánta, cuántos, cuántas",,how much; how many,how much; how many,how much; how many,,,Adverb,,[sound:spanishdict-224ea0db-3a809cfd-b8b6cfc4-e3ec68c6-5cf609f8.mp3],10,Questions
la pregunta,,question,question,question,,,Noun,f,[sound:spanishdict-b41faa89-a2191533-00f7f718-cff7fa17-1da339af.mp3],10,Questions
tocar,,to touch,to touch,to touch,,,Verb,,[sound:spanishdict-5a2a53e5-c1910cda-9adc4363-2e1ebea2-dc39c6f4.mp3],11,VerbsPresent1
tener,posseer,to have,to have,to have,,,Verb,,[sound:spanishdict-edd3d251-72744a4b-7c410801-19831b41-e74dfa16.mp3],11,VerbsPresent1
ver,mirar,"to see, to look at, to watch (passive)","to see, to look at, to watch (passive)","to see, to look at, to watch",,passive,Verb,,[sound:spanishdict-30671add-40fd1bd5-915cf3f5-9bd55bf8-fe8dc82b.mp3],11,VerbsPresent1
oír,escuchar,to hear; to listen to,to hear; to listen to,to hear; to listen to,,,Verb,,[sound:spanishdict-16bb81b5-4b186714-5ac7bebc-b80e7cec-64f7abda.mp3],11,VerbsPresent1
dormir,,to sleep,to sleep,to sleep,,,Verb,,[sound:spanishdict-ed78a84e-5854e8b3-7c9bfe07-00de5a27-89e5e599.mp3],11,VerbsPresent1
poder,lograr,to be able,to be able,to be able,,,Verb,,[sound:spanishdict-8b8c687f-7e18e7b7-41d4504d-e7f59144-54143987.mp3],11,VerbsPresent1
hablar,,to speak,to speak,to speak,,,Verb,,[sound:spanishdict-3c2f7bb0-1ebbd108-c15573b8-9e5ac276-c886d655.mp3],11,VerbsPresent1
ir,,to go,to go,to go,,,Verb,,[sound:spanishdict-f7a618be-a29c50c7-87318142-fad16890-29f66264.mp3],11,VerbsPresent1
pagar,,to pay; to pay for,to pay; to pay for,to pay; to pay for,,,Verb,,[sound:spanishdict-66c8cb21-36c7c09b-0a777857-59892164-f087a5a8.mp3],11,VerbsPresent1
caminar,a…,to walk,to walk,to walk,,,Verb,,[sound:spanishdict-6b0621b8-83497431-96b612d9-1bd37b07-2820f95b.mp3],11,VerbsPresent1
correr,,to run,to run,to run,,,Verb,,[sound:spanishdict-b104ea64-dca2a1ec-f8505844-ecc894f6-9c160d50.mp3],11,VerbsPresent1
nadar,,to swim,to swim,to swim,,,Verb,,[sound:spanishdict-deed4501-01389870-ee83bf34-861630b4-8c9dc8db.mp3],11,VerbsPresent1
hacer,,to do,to do,to do,,,Verb,,[sound:spanishdict-adada0a4-5c41dfde-be37269e-43b567b5-4fdad49f.mp3],11,VerbsPresent1
querer,,"to want, to love, to like","to want, to love, to like","to want, to love, to like",,,Verb,,[sound:spanishdict-0decf0c5-7a2ce711-2b415918-38084dd3-a21793a9.mp3],11,VerbsPresent1
sino,pero,"but, but rather, but instead","but, but rather, but instead","but, but rather, but instead",,,CoNounj,,[sound:spanishdict-56caeb48-019ef504-e9d209d8-4fd86fb4-3287c327.mp3],12,Conjunctions
aunque,,although; even though; even if,although; even though; even if,although; even though; even if,,,CoNounj,,[sound:spanishdict-e30cb41f-b697db61-07df543a-882215b6-dddc0516.mp3],12,Conjunctions
que,,"that (referring to subject, not predicate)","that (referring to subject, not predicate)",that,,"referring to subject, not predicate",CoNounj,,[sound:spanishdict-5e9ecfbf-0dd92c79-32d805f6-c1e80f4b-aa2ea60c.mp3],12,Conjunctions
y,,and,and,and,,,CoNounj,,[sound:spanishdict-5c461269-35133279-b158dd84-6a29fadb-7b4cd839.mp3],12,Conjunctions
si,,if,if,if,,,CoNounj,,[sound:spanishdict-16a0269c-904e155e-ae78af86-fce92132-3cf3d8d0.mp3],12,Conjunctions
porque,,because,because,because,,,CoNounj,,[sound:spanishdict-9952c2b0-2f25d021-3414ac13-edad5639-a22e1b64.mp3],12,Conjunctions
pero,,but,but,but,,,CoNounj,,[sound:spanishdict-0c22d4cf-8b61494c-3fb271ea-4d83f51e-897a55b1.mp3],12,Conjunctions
como,,"like, as, such as","like, as, such as","like, as, such as",,,CoNounj,,[sound:spanishdict-27b41552-129d0fe3-04e2bd98-237c5e75-3cc31086.mp3],12,Conjunctions
mientras,,while,while,while,,,CoNounj,,[sound:spanishdict-9b91a300-e8464b69-3207e29b-60ce1e36-7e932f50.mp3],12,Conjunctions
ni,,nor; neither,nor; neither,nor; neither,,,CoNounj,,[sound:spanishdict-c471bbe1-813f4ded-b81db45e-47e7ec74-dce619e2.mp3],12,Conjunctions
o,,or,or,or,,,CoNounj,,[sound:spanishdict-7ec0d541-a62b0ca5-a4d4e9c9-29d7c4f4-272daec8.mp3],12,Conjunctions
el atún,,tuna,tuna,tuna,,,Noun,m,[sound:spanishdict-e2547ac6-c18a95bc-3731b66e-e734b60d-d7900bdb.mp3],13,Food2
el banano,el plátano,banana,banana,banana,,,Noun,m,[sound:spanishdict-07568335-00bc6a88-6f21a551-5beb211e-3c1e5d2b.mp3],13,Food2
el plátano,el banano,banana,banana,banana,,,Noun,m,[sound:spanishdict-23c4aa4f-289192da-289edd00-96cb0ee2-692ceb57.mp3],13,Food2
la mantequilla,el burro,butter,butter,butter,,,Noun,f,[sound:spanishdict-66f9e753-4370d008-ed6574a2-cfc94fbd-863e0345.mp3],13,Food2
el pavo,,turkey (food),turkey (food),turkey,,food,Noun,m,[sound:spanishdict-dda8c8c2-95bed5c3-5a54878b-bdd6cf5e-152da671.mp3],13,Food2
la piña,a…,pineapple,pineapple,pineapple,,,Noun,f,[sound:spanishdict-cef5edf4-78c6663b-c077d8e5-f7f78dc6-6ccd3cb3.mp3],13,Food2
el maíz,,corn,corn,corn,,,Noun,m,[sound:spanishdict-64901713-b9ea037f-f288475b-dc3444da-3e386b25.mp3],13,Food2
la zanahoria,,carrot,carrot,carrot,,,Noun,f,[sound:spanishdict-54019c75-74ace566-a1948402-87f871cc-3ba93f72.mp3],13,Food2
el aceite,o… / el petrol,oil,oil,oil,,,Noun,m,[sound:spanishdict-28a732a3-226185ef-875ec670-e15506a3-51bfad9e.mp3],13,Food2
la pimienta,,pepper,pepper,pepper,,,Noun,f,[sound:spanishdict-2406d1a7-388f67b5-62dd8a48-9dfc29f8-af3705e6.mp3],13,Food2
el ajo,,garlic,garlic,garlic,,,Noun,m,[sound:spanishdict-c879741d-e6f1693f-e2d108b5-fe77f8c9-391bc127.mp3],13,Food2
la uva,,grape,grape,grape,,,Noun,f,[sound:spanishdict-59e39e29-ab2e5f23-d2660b23-8babcca4-9285f55a.mp3],13,Food2
el hongo,c… / s…,mushroom,mushroom,mushroom,,,Noun,m,[sound:spanishdict-2fdedc90-8801849a-7382f249-27d7402e-12921053.mp3],13,Food2
el pastel,t…,cake,cake,cake,,,Noun,m,[sound:spanishdict-e2fc6833-12758bd6-dab52941-6724109b-066eaeee.mp3],13,Food2
la ensalada,,salad,salad,salad,,,Noun,f,[sound:spanishdict-d61bddf9-f618e0d2-018eb140-d3a765a4-a66736c5.mp3],13,Food2
la lechuga,,lettuce,lettuce,lettuce,,,Noun,f,[sound:spanishdict-e5f16d4c-fb112720-06e92604-089ed5c9-eca76d47.mp3],13,Food2
el hielo,,ice,ice,ice,,,Noun,m,[sound:spanishdict-94ad5fd0-e2768387-c071ec38-f147fcd6-b0e4e77e.mp3],13,Food2
la hija,,daughter,daughter,daughter,,,Noun,f,[sound:spanishdict-b2065ad3-914c9d16-5731288f-df29f3c0-2115deb3.mp3],14,Family
el hijo,,son,son,son,,,Noun,m,[sound:spanishdict-685d9be2-37d9c7bf-8f2da6c5-4ed8c670-bafcd824.mp3],14,Family
el tío,,uncle,uncle,uncle,,,Noun,m,[sound:spanishdict-2bc83839-a65a0f69-d89615cb-a3e9fee5-8260618f.mp3],14,Family
la tía,,aunt,aunt,aunt,,,Noun,f,[sound:spanishdict-93e03ff2-cdb105b0-8cbf714b-2adefc96-ddab7a68.mp3],14,Family
"el primo, la prima",,cousin,cousin,cousin,,,Noun,m,[sound:spanishdict-a5193a1f-c382dc4f-d106cc70-047fa64f-ba73555d.mp3],14,Family
el padre,el pápa,father (formal),father (formal),father,,formal,Noun,m,[sound:spanishdict-8006d140-4a981155-2fb89708-99be4938-d2226fa9.mp3],14,Family
la abuela,,grandma,grandma,grandma,,,Noun,f,[sound:spanishdict-64fabad3-0f069b95-17215698-fa246edd-fea6b7e6.mp3],14,Family
"el bebé, la bebé",,baby,baby,baby,,,Noun,m,[sound:spanishdict-5a850946-d50b8c4e-78011c37-836131b1-2133abc5.mp3],14,Family
la novia,,girlfriend,girlfriend,girlfriend,,,Noun,f,[sound:spanishdict-c4f5d4f8-65a1e6b9-76615607-88e01860-9c419d74.mp3],14,Family
el marido,la esposa,husband,husband,husband,,,Noun,m,[sound:spanishdict-450339cd-1cf8af6f-46594bbd-84885329-a31ec4e1.mp3],14,Family
el novio,,boyfriend,boyfriend,boyfriend,,,Noun,m,[sound:spanishdict-d81362da-9eed6321-d317804e-c843b3d8-46864a37.mp3],14,Family
